frame_id,target1_pos_x,target1_pos_y,target2_pos_x,target2_pos_y
0,8.265,16.175,16.288,8.125
1,8.279,16.178,16.302,8.127
2,8.349,16.185,16.372,8.135
3,8.426,16.185,16.449,8.135
4,8.496,16.187,16.519,8.128
5,8.566,16.187,16.589,8.12
6,8.643,16.176,16.666,8.113
7,8.713,16.155,16.736,8.107
8,8.783,16.129,16.806,8.097
9,8.854,16.097,16.883,8.086
10,8.912,16.061,16.953,8.067
11,8.972,16.001,17.037,8.041
12,9.016,15.945,17.106,8.017
13,9.046,15.883,17.166,7.985
14,9.068,15.806,17.23,7.942
15,9.075,15.736,17.29,7.902
16,9.075,15.659,17.345,7.848
17,9.073,15.589,17.387,7.79
18,9.053,15.512,17.427,7.724
19,9.028,15.445,17.454,7.658
20,8.992,15.379,17.465,7.581
21,8.952,15.321,17.46,7.511
22,8.906,15.269,17.457,7.441
23,8.855,15.211,17.445,7.364
24,8.801,15.166,17.427,7.294
25,8.735,15.124,17.406,7.217
26,8.675,15.094,17.383,7.147
27,8.609,15.059,17.342,7.081
28,8.542,15.032,17.302,7.021
29,8.444,15.01,17.246,6.941
30,8.374,15.001,17.201,6.888
31,8.297,14.991,17.138,6.842
32,8.22,14.986,17.068,6.809
33,8.143,14.996,16.991,6.792
34,8.07,15.028,16.914,6.788
35,8.005,15.058,16.844,6.794
36,7.939,15.092,16.767,6.805
37,7.867,15.15,16.676,6.818
38,7.811,15.194,16.606,6.829
39,7.763,15.245,16.536,6.843
40,7.728,15.312,16.459,6.86
41,7.698,15.372,16.389,6.877
42,7.667,15.444,16.314,6.902
43,7.646,15.514,16.254,6.936
44,7.629,15.584,16.194,6.976
45,7.608,15.661,16.134,7.025
46,7.588,15.731,16.089,7.08
47,7.568,15.801,16.046,7.137
48,7.556,15.878,16.009,7.203
49,7.555,15.948,15.979,7.265
50,7.555,16.025,15.943,7.331
51,7.549,16.102,15.91,7.4
52,7.552,16.172,15.88,7.467
53,7.563,16.249,15.855,7.544
54,7.576,16.319,15.843,7.614
55,7.599,16.389,15.838,7.684
56,7.632,16.461,15.834,7.761
57,7.672,16.521,15.843,7.831
