frame_id,target1_pos_x,target1_pos_y,target2_pos_x,target2_pos_y
0,16.248,5.947,16.248,5.947
1,16.318,5.944,16.318,5.944
2,16.386,5.909,16.386,5.909
3,16.449,5.88,16.449,5.88
4,16.525,5.866,16.525,5.866
5,16.585,5.831,16.585,5.831
6,16.643,5.79,16.643,5.79
7,16.687,5.736,16.687,5.736
8,16.737,5.679,16.737,5.679
9,16.801,5.658,16.801,5.658
10,16.871,5.641,16.871,5.641
11,16.922,5.594,16.922,5.594
12,16.978,5.541,16.978,5.541
13,17.041,5.51,17.041,5.51
14,17.084,5.458,17.084,5.458
15,17.133,5.407,17.133,5.407
16,17.19,5.354,17.19,5.354
17,17.241,5.307,17.241,5.307
18,17.289,5.257,17.289,5.257
19,17.327,5.198,17.327,5.198
20,17.381,5.155,17.381,5.155
21,17.457,5.131,17.457,5.131
22,17.48,5.069,17.48,5.069
23,17.489,4.999,17.489,4.999
24,17.49,4.929,17.49,4.929
25,17.488,4.859,17.488,4.859
26,17.457,4.791,17.457,4.791
27,17.403,4.75,17.403,4.75
28,17.344,4.711,17.344,4.711
29,17.277,4.72,17.277,4.72
30,17.212,4.759,17.212,4.759
31,17.174,4.818,17.174,4.818
32,17.127,4.871,17.127,4.871
33,17.086,4.928,17.086,4.928
34,17.077,4.996,17.077,4.996
35,17.062,5.071,17.062,5.071
36,17.009,5.107,17.009,5.107
37,16.955,5.071,16.955,5.071
38,16.911,5.017,16.911,5.017
39,16.862,4.963,16.862,4.963
40,16.792,4.951,16.792,4.951
41,16.725,4.93,16.725,4.93
42,16.655,4.938,16.655,4.938
43,16.591,4.959,16.591,4.959
44,16.542,5.018,16.542,5.018
45,16.491,5.063,16.491,5.063
46,16.467,5.125,16.467,5.125
47,16.439,5.187,16.439,5.187
48,16.382,5.224,16.382,5.224
49,16.333,5.274,16.333,5.274
50,16.287,5.327,16.287,5.327
51,16.246,5.384,16.246,5.384
52,16.214,5.453,16.214,5.453
53,16.196,5.521,16.196,5.521
54,16.165,5.583,16.165,5.583
55,16.111,5.628,16.111,5.628
56,16.072,5.686,16.072,5.686
57,16.018,5.729,16.018,5.729
58,15.951,5.766,15.951,5.766
59,15.902,5.812,15.902,5.812
60,15.893,5.881,15.893,5.881
61,15.922,5.944,15.922,5.944
62,15.948,6.008,15.948,6.008
63,15.973,6.073,15.973,6.073
64,15.957,6.14,15.957,6.14
65,15.922,6.208,15.922,6.208
66,15.871,6.256,15.871,6.256
67,15.826,6.307,15.826,6.307
68,15.791,6.367,15.791,6.367
69,15.751,6.425,15.751,6.425
70,15.725,6.489,15.725,6.489
71,15.73,6.566,15.73,6.566
72,15.715,6.635,15.715,6.635
73,15.695,6.702,15.695,6.702
74,15.708,6.771,15.708,6.771
75,15.706,6.841,15.706,6.841
76,15.735,6.904,15.735,6.904
77,15.728,6.977,15.728,6.977
78,15.718,7.045,15.718,7.045
79,15.729,7.115,15.729,7.115
80,15.757,7.177,15.757,7.177
81,15.766,7.247,15.766,7.247
82,15.783,7.328,15.783,7.328
83,15.79,7.398,15.79,7.398
84,15.767,7.462,15.767,7.462
85,15.718,7.512,15.718,7.512
86,15.681,7.572,15.681,7.572
87,15.633,7.624,15.633,7.624
88,15.579,7.677,15.579,7.677
89,15.559,7.743,15.559,7.743
90,15.573,7.81,15.573,7.81
91,15.584,7.88,15.584,7.88
92,15.572,7.946,15.572,7.946
93,15.578,8.029,15.578,8.029
94,15.598,8.096,15.598,8.096
95,15.639,8.154,15.639,8.154
96,15.679,8.212,15.679,8.212
97,15.737,8.262,15.737,8.262
98,15.807,8.273,15.807,8.273
99,15.877,8.264,15.877,8.264
100,15.942,8.237,15.942,8.237
101,15.98,8.179,15.98,8.179
102,15.977,8.102,15.977,8.102
103,15.927,8.059,15.927,8.059
104,15.857,8.051,15.857,8.051
105,15.789,8.068,15.789,8.068
106,15.732,8.107,15.732,8.107
107,15.671,8.145,15.671,8.145
108,15.601,8.179,15.601,8.179
109,15.558,8.234,15.558,8.234
110,15.504,8.278,15.504,8.278
111,15.438,8.303,15.438,8.303
112,15.369,8.322,15.369,8.322
113,15.308,8.369,15.308,8.369
114,15.247,8.402,15.247,8.402
115,15.181,8.424,15.181,8.424
116,15.113,8.427,15.113,8.427
117,15.057,8.471,15.057,8.471
118,15.019,8.53,15.019,8.53
119,15.046,8.589,15.046,8.589
120,15.111,8.642,15.111,8.642
121,15.179,8.629,15.179,8.629
122,15.24,8.592,15.24,8.592
123,15.309,8.575,15.309,8.575
124,15.385,8.585,15.385,8.585
125,15.455,8.575,15.455,8.575
126,15.525,8.58,15.525,8.58
127,15.6,8.598,15.6,8.598
128,15.67,8.612,15.67,8.612
129,15.747,8.619,15.747,8.619
130,15.813,8.593,15.813,8.593
131,15.875,8.609,15.875,8.609
132,15.913,8.684,15.913,8.684
133,15.962,8.734,15.962,8.734
134,16.016,8.789,16.016,8.789
135,16.069,8.835,16.069,8.835
136,16.139,8.84,16.139,8.84
137,16.209,8.81,16.209,8.81
138,16.263,8.767,16.263,8.767
139,16.291,8.696,16.291,8.696
140,16.318,8.63,16.318,8.63
141,16.324,8.56,16.324,8.56
142,16.319,8.483,16.319,8.483
143,16.295,8.417,16.295,8.417
144,16.247,8.366,16.247,8.366
145,16.175,8.338,16.175,8.338
146,16.105,8.327,16.105,8.327
147,16.046,8.289,16.046,8.289
148,15.975,8.266,15.975,8.266
149,15.906,8.284,15.906,8.284
150,15.842,8.31,15.842,8.31
151,15.776,8.348,15.776,8.348
152,15.718,8.385,15.718,8.385
153,15.661,8.434,15.661,8.434
154,15.648,8.504,15.648,8.504
155,15.661,8.579,15.661,8.579
156,15.657,8.649,15.657,8.649
157,15.656,8.719,15.656,8.719
158,15.67,8.794,15.67,8.794
159,15.702,8.855,15.702,8.855
160,15.737,8.922,15.737,8.922
161,15.769,8.981,15.769,8.981
162,15.77,9.051,15.77,9.051
163,15.759,9.128,15.759,9.128
164,15.801,9.182,15.801,9.182
165,15.853,9.225,15.853,9.225
166,15.916,9.189,15.916,9.189
167,15.943,9.125,15.943,9.125
168,15.989,9.065,15.989,9.065
169,16.032,9.01,16.032,9.01
170,16.081,8.961,16.081,8.961
171,16.153,8.93,16.153,8.93
172,16.222,8.927,16.222,8.927
173,16.29,8.942,16.29,8.942
174,16.334,9.004,16.334,9.004
175,16.377,9.058,16.377,9.058
176,16.445,9.093,16.445,9.093
177,16.514,9.096,16.514,9.096
178,16.583,9.086,16.583,9.086
179,16.653,9.084,16.653,9.084
180,16.73,9.085,16.73,9.085
181,16.8,9.086,16.8,9.086
182,16.87,9.105,16.87,9.105
183,16.946,9.093,16.946,9.093
184,17.012,9.11,17.012,9.11
185,17.062,9.158,17.062,9.158
186,17.129,9.156,17.129,9.156
187,17.195,9.136,17.195,9.136
188,17.246,9.097,17.246,9.097
189,17.273,9.025,17.273,9.025
190,17.245,8.964,17.245,8.964
191,17.184,8.929,17.184,8.929
192,17.115,8.924,17.115,8.924
193,17.051,8.872,17.051,8.872
194,16.989,8.839,16.989,8.839
195,16.921,8.793,16.921,8.793
196,16.862,8.759,16.862,8.759
197,16.808,8.714,16.808,8.714
198,16.747,8.681,16.747,8.681
199,16.685,8.708,16.685,8.708
200,16.642,8.763,16.642,8.763
